track_uri,track_name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
spotify:track:4alHkxxwAhvoGg3dJCATKV,My Side,294651,0.549,0.495,6,-5.661,0.133,0.603,7.26e-06,0.0979,0.385,81.012,Drake
spotify:track:6MR5IBSNfDmiwnrlQpVw4w,Club Paradise,283816,0.338,0.729,6,-6.419,0.102,0.758,3.24e-05,0.18,0.543,184.174,Drake
spotify:track:73IE87H0g2MBmdn41lkVto,Paris Morton Music,251240,0.505,0.494,10,-8.635,0.315,0.414,7.98e-05,0.105,0.141,171.978,Drake
spotify:track:6fLVTVaHWaEfVKfEgbkf4D,Losses,271184,0.551,0.57,1,-7.385,0.351,0.28,0.0,0.424,0.505,85.687,Drake
spotify:track:0YkUwXxnTkeJBvt5upeEtP,From Florida With Love,234783,0.787,0.477,6,-7.837,0.199,0.768,0.0,0.104,0.476,80.506,Drake
spotify:track:3e0ZGE7Gp034iLknjQk4QW,Can I,189289,0.643,0.178,4,-8.56,0.0588,0.484,0.0108,0.122,0.0674,85.042,Drake
spotify:track:1PDP7mLiAMwhfmgIwzhOm2,Yebba’s Heartbreak,133763,0.476,0.161,8,-11.665,0.0407,0.967,0.0381,0.109,0.0908,119.614,Drake
spotify:track:4eSGSqP2TZvvX0kadZZttM,Doing It Wrong,265120,0.397,0.172,6,-15.698,0.0445,0.841,6.78e-05,0.108,0.123,101.275,Drake
spotify:track:7t1lBIr3WIEtqQEOdZFMUf,Look What You've Done,301960,0.495,0.351,3,-14.669,0.34,0.485,0.0,0.0967,0.271,134.369,Drake
spotify:track:74atKkOasLOVzvqB6mYgga,The Real Her,321080,0.567,0.309,8,-14.254,0.385,0.166,0.0,0.12,0.509,65.041,Drake
spotify:track:3Q4gttWQ6hxqWOa3tHoTNi,Not You Too (feat. Chris Brown),269680,0.458,0.452,9,-9.299,0.047,0.342,1.94e-05,0.0703,0.316,86.318,Drake
spotify:track:2Q3jFbyE61mCjS3SkW4toJ,Race My Mind,269884,0.488,0.635,10,-7.19,0.26,0.179,8.16e-06,0.156,0.783,174.072,Drake
spotify:track:2FbGlEPAjNhWvrVvlentVq,Cameras / Good Ones Go Interlude - Medley,434960,0.441,0.403,2,-11.18,0.147,0.255,1.27e-05,0.13,0.158,139.92,Drake
spotify:track:3cjF2OFRmip8spwZYQRKxP,Feel No Ways,240653,0.582,0.677,7,-7.081,0.172,0.0312,6.6e-06,0.122,0.205,193.818,Drake
spotify:track:2Na0z2gfN67Rzf0vp74Wi3,Lose You,305374,0.526,0.583,4,-9.172,0.376,0.699,0.0,0.372,0.378,89.837,Drake
spotify:track:4cRBqWBjuccCowYVHFlXK6,Redemption,333947,0.694,0.314,0,-7.82,0.116,0.611,2.07e-06,0.117,0.341,119.905,Drake
spotify:track:6MbH1QiphMCPTqVEVC7UYi,Nothings Into Somethings,153725,0.766,0.234,11,-7.544,0.159,0.332,0.00156,0.358,0.256,96.882,Drake
spotify:track:6s64FyS9n0XYbGMLH3LOWU,Furthest Thing,267373,0.485,0.78,9,-5.261,0.142,0.149,0.0,0.0568,0.267,136.972,Drake
spotify:track:4BhGTc3Cgay2U1QcTS7vQe,Fire & Desire,238120,0.722,0.252,1,-14.411,0.0761,0.0671,0.0,0.0852,0.275,79.923,Drake
spotify:track:4Wjhj0WjkyECccfHVIgaTq,Trust Issues,281519,0.421,0.539,11,-5.456,0.274,0.779,0.0,0.111,0.523,89.177,Drake
spotify:track:4c2xt1trwYZpMqPWY35Xi9,Jaded,262453,0.764,0.271,0,-5.697,0.0414,0.037,0.0,0.175,0.0371,116.019,Drake
spotify:track:4czcw3NVLY0of5hTD7OufN,Days in The East,353698,0.733,0.361,1,-11.129,0.135,0.348,0.000285,0.0942,0.0361,94.902,Drake
spotify:track:6n3HGiq4v35D6eFOSwqYuo,Teenage Fever,219692,0.766,0.283,8,-10.33,0.0846,0.111,0.0172,0.115,0.144,97.04,Drake
spotify:track:7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,272113,0.817,0.44,10,-8.482,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,Drake
spotify:track:7GeTsDIc5ykNB6lORO6Cee,Circo Loco,236795,0.734,0.605,1,-8.476,0.0699,0.0102,0.0,0.317,0.252,103.976,Drake
spotify:track:3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),218365,0.529,0.673,0,-4.711,0.175,0.000307,2.41e-06,0.093,0.366,165.921,Drake
spotify:track:4rmVZajAF7PkrCagGPHbqa,Sticky,243228,0.853,0.495,6,-14.63,0.14,0.0917,0.000217,0.0844,0.0774,137.027,Drake
