track_uri,track_name,album_name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,type,id,uri,track_href,analysis_url,time_signature
spotify:track:1U4mweNwisxNj23ffuC9gO,Miss Me,Thank Me Later,305520,0.426,0.862,2,-5.979,0.597,0.0813,0.0,0.34,0.332,100.3,1,audio_features,1U4mweNwisxNj23ffuC9gO,spotify:track:1U4mweNwisxNj23ffuC9gO,https://api.spotify.com/v1/tracks/1U4mweNwisxNj23ffuC9gO,https://api.spotify.com/v1/audio-analysis/1U4mweNwisxNj23ffuC9gO,5
spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,Sneakin',Sneakin’,251333,0.806,0.558,8,-6.538,0.172,0.00496,1.45e-06,0.16,0.26,85.011,1,audio_features,4ckuS4Nj4FZ7i3Def3Br8W,spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,https://api.spotify.com/v1/tracks/4ckuS4Nj4FZ7i3Def3Br8W,https://api.spotify.com/v1/audio-analysis/4ckuS4Nj4FZ7i3Def3Br8W,4
spotify:track:1OHoBC4icbuNhpSxP400sv,Preach,If You're Reading This It's Too Late,236973,0.605,0.51,11,-8.094,0.423,0.165,8.8e-05,0.104,0.389,65.255,0,audio_features,1OHoBC4icbuNhpSxP400sv,spotify:track:1OHoBC4icbuNhpSxP400sv,https://api.spotify.com/v1/tracks/1OHoBC4icbuNhpSxP400sv,https://api.spotify.com/v1/audio-analysis/1OHoBC4icbuNhpSxP400sv,4
spotify:track:6UgxOrbHWJeqHvh0ost7Aa,Too Much,Nothing Was The Same,261853,0.681,0.569,6,-5.859,0.546,0.173,0.0,0.18,0.147,140.532,1,audio_features,6UgxOrbHWJeqHvh0ost7Aa,spotify:track:6UgxOrbHWJeqHvh0ost7Aa,https://api.spotify.com/v1/tracks/6UgxOrbHWJeqHvh0ost7Aa,https://api.spotify.com/v1/audio-analysis/6UgxOrbHWJeqHvh0ost7Aa,4
spotify:track:6cblRiEGDRNZgowcm951R3,Sandra's Rose,Scorpion,216333,0.486,0.849,1,-5.432,0.246,0.0481,0.0,0.143,0.519,152.086,1,audio_features,6cblRiEGDRNZgowcm951R3,spotify:track:6cblRiEGDRNZgowcm951R3,https://api.spotify.com/v1/tracks/6cblRiEGDRNZgowcm951R3,https://api.spotify.com/v1/audio-analysis/6cblRiEGDRNZgowcm951R3,4
spotify:track:48WidxP9CqyYtk97pwGZ3c,Wasting Time ( feat. Drake & The Neptunes ),Wasting Time ( feat. Drake & The Neptunes ),301304,0.443,0.72,7,-3.743,0.0733,0.0669,0.0,0.0909,0.374,89.378,0,audio_features,48WidxP9CqyYtk97pwGZ3c,spotify:track:48WidxP9CqyYtk97pwGZ3c,https://api.spotify.com/v1/tracks/48WidxP9CqyYtk97pwGZ3c,https://api.spotify.com/v1/audio-analysis/48WidxP9CqyYtk97pwGZ3c,4
spotify:track:0Tacxc5lDJ8LwiO1pWNSl8,The Motion,Care Package,240957,0.631,0.788,4,-7.142,0.102,0.371,0.000317,0.108,0.544,157.769,0,audio_features,0Tacxc5lDJ8LwiO1pWNSl8,spotify:track:0Tacxc5lDJ8LwiO1pWNSl8,https://api.spotify.com/v1/tracks/0Tacxc5lDJ8LwiO1pWNSl8,https://api.spotify.com/v1/audio-analysis/0Tacxc5lDJ8LwiO1pWNSl8,4
spotify:track:1QBwk6GTCxVdC2hoSw9tlM,Lord Knows,Take Care (Deluxe),307640,0.417,0.887,5,-5.551,0.367,0.0786,0.0,0.834,0.303,167.579,0,audio_features,1QBwk6GTCxVdC2hoSw9tlM,spotify:track:1QBwk6GTCxVdC2hoSw9tlM,https://api.spotify.com/v1/tracks/1QBwk6GTCxVdC2hoSw9tlM,https://api.spotify.com/v1/audio-analysis/1QBwk6GTCxVdC2hoSw9tlM,4
spotify:track:4n1bdaKwynQndm47x5HqWX,Blue Tint,Scorpion,162800,0.889,0.372,7,-10.254,0.357,0.013,0.0,0.184,0.123,133.997,0,audio_features,4n1bdaKwynQndm47x5HqWX,spotify:track:4n1bdaKwynQndm47x5HqWX,https://api.spotify.com/v1/tracks/4n1bdaKwynQndm47x5HqWX,https://api.spotify.com/v1/audio-analysis/4n1bdaKwynQndm47x5HqWX,4
spotify:track:3Kwdm0iLyEiRB8InsZoo6n,Talk To Me,The Truth Hurts,227706,0.773,0.281,1,-9.781,0.11,0.24,0.0,0.112,0.465,102.019,1,audio_features,3Kwdm0iLyEiRB8InsZoo6n,spotify:track:3Kwdm0iLyEiRB8InsZoo6n,https://api.spotify.com/v1/tracks/3Kwdm0iLyEiRB8InsZoo6n,https://api.spotify.com/v1/audio-analysis/3Kwdm0iLyEiRB8InsZoo6n,4
